Rank,Athlete,Nation,D,E,ND,Total
1,Urara Ashikawa,Japan,5.4,8.45,,13.85
2,Rebeca Andrade,Brazil,5.6,8.2,,13.8
3,Anastasiia Bachynska,Ukraine,5.8,7.7,,13.5
4,Emma Nedov,Australia,5.4,7.766,,13.166
5,Yana Vorona,Russia,5.7,7.433,,13.133
6,Ondine Achampong,Great Britain,5.4,7.7,,13.1
7,Thais Fidelis,Brazil,5.3,7.6,,12.9
8,Maria Kharenkova,Georgia,5.2,7.566,,12.766
9,Lara Mori,Italy,5.3,7.441,,12.741
10,Tran Doan Quynh Nam,Vietnam,5.3,7.375,,12.675
11,Tjasa Kysselef,Slovenia,5.1,7.533,,12.633
12,Marta Pihan-Kulesza,Poland,5.4,7.2,,12.6
13,Naveen Daries,South Africa,4.8,7.633,,12.433
14,Sophie Marois,Canada,4.7,7.633,,12.333
15,Angelina Radivilova,Ukraine,5.5,6.766,,12.266
16,Coline Devillard,France,4.8,7.4,,12.2
17,Anastasiya Savitskaya,Belarus,5,7.133,,12.133
17,Marina Nekrasova,Azerbaijan,5,7.133,,12.133
19,Caitlin Rooskrantz,South Africa,4.9,6.833,,11.733
20,Ana Derek,Croatia,5.3,6.3,-0.1,11.5
21,Georgia-Mae Fenton,Great Britain,4.7,6.766,,11.466
22,Georgia-Rose Brown,Australia,4.6,6.766,,11.366
23,Enni Kettunen,Finland,4.3,7,,11.3
24,Audrey Rousseau,Canada,4.8,6.4,,11.2
25,Ceren Biner,Turkey,5,6.1,,11.1
26,Nazli Savranbasi,Turkey,4.9,6.166,,11.066
26,Gabriela Janik,Poland,4.9,6.166,,11.066
28,Sara Loikas,Finland,4.3,6.6,,10.9
29,Isabella Brett,New Zealand,5,5.066,,10.066
30,Ana Lago,Mexico,5.2,4.9,,10
31,Ganna Metelitsa,Belarus,4.3,5.533,,9.833
32,Samira Gahramanova,Azerbaijan,4.3,4.166,,8.466