STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00094075,"BOULDER 14 W, CO US",2017-07-01,0.0,68.0,31.0
USW00094075,"BOULDER 14 W, CO US",2017-07-02,0.0,73.0,35.0
USW00094075,"BOULDER 14 W, CO US",2017-07-03,0.0,68.0,46.0
USW00094075,"BOULDER 14 W, CO US",2017-07-04,0.05,68.0,43.0
USW00094075,"BOULDER 14 W, CO US",2017-07-05,0.01,73.0,40.0
USW00094075,"BOULDER 14 W, CO US",2017-07-06,0.0,76.0,48.0
USW00094075,"BOULDER 14 W, CO US",2017-07-07,0.02,74.0,43.0
USW00094075,"BOULDER 14 W, CO US",2017-07-08,0.0,65.0,44.0
USW00094075,"BOULDER 14 W, CO US",2017-07-09,0.01,73.0,39.0
USW00094075,"BOULDER 14 W, CO US",2017-07-10,0.01,75.0,44.0
USW00094075,"BOULDER 14 W, CO US",2017-07-11,0.01,71.0,52.0
USW00094075,"BOULDER 14 W, CO US",2017-07-12,0.1,54.0,43.0
USW00094075,"BOULDER 14 W, CO US",2017-07-13,0.0,67.0,41.0
USW00094075,"BOULDER 14 W, CO US",2017-07-14,0.0,67.0,39.0
USW00094075,"BOULDER 14 W, CO US",2017-07-15,0.0,65.0,40.0
USW00094075,"BOULDER 14 W, CO US",2017-07-16,0.05,68.0,38.0
USW00094075,"BOULDER 14 W, CO US",2017-07-17,0.01,72.0,47.0
USW00094075,"BOULDER 14 W, CO US",2017-07-18,0.0,71.0,47.0
USW00094075,"BOULDER 14 W, CO US",2017-07-19,0.03,80.0,45.0
USW00094075,"BOULDER 14 W, CO US",2017-07-20,0.0,74.0,46.0
USW00094075,"BOULDER 14 W, CO US",2017-07-21,0.16,74.0,48.0
USW00094075,"BOULDER 14 W, CO US",2017-07-22,0.11,66.0,46.0
USW00094075,"BOULDER 14 W, CO US",2017-07-23,0.56,69.0,43.0
USW00094075,"BOULDER 14 W, CO US",2017-07-24,0.0,72.0,45.0
USW00094075,"BOULDER 14 W, CO US",2017-07-25,0.24,69.0,47.0
USW00094075,"BOULDER 14 W, CO US",2017-07-26,0.28,62.0,44.0
USW00094075,"BOULDER 14 W, CO US",2017-07-27,0.02,65.0,44.0
USW00094075,"BOULDER 14 W, CO US",2017-07-28,0.12,69.0,45.0
USW00094075,"BOULDER 14 W, CO US",2017-07-29,0.14,59.0,47.0
USW00094075,"BOULDER 14 W, CO US",2017-07-30,0.48,61.0,41.0
USW00094075,"BOULDER 14 W, CO US",2017-07-31,0.0,65.0,37.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-01,0.0,63.0,40.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-02,0.0,76.0,45.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-03,0.0,83.0,50.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-04,0.0,82.0,52.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-05,0.05,82.0,47.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-06,0.0,86.0,50.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-07,0.0,86.0,50.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-08,0.0,77.0,48.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-09,0.03,78.0,48.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-10,0.0,84.0,50.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-11,0.0,82.0,55.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-12,0.0,82.0,61.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-13,0.07,68.0,46.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-14,0.0,77.0,48.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-15,0.0,78.0,52.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-16,0.0,77.0,48.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-17,0.0,78.0,50.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-18,0.0,83.0,53.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-19,0.0,83.0,54.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-20,0.0,88.0,54.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-21,0.0,88.0,53.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-22,0.06,85.0,50.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-23,0.0,85.0,50.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-24,0.0,81.0,52.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-25,0.0,86.0,55.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-26,0.41,82.0,53.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-27,0.5,69.0,52.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-28,0.03,76.0,51.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-29,0.08,79.0,53.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-30,0.03,73.0,53.0
USC00053629,"GROSS RESERVOIR, CO US",2017-07-31,0.0,73.0,49.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-01,,81.0,50.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-02,,86.0,57.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-03,,84.0,59.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-04,,86.0,60.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-05,,94.0,60.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-06,,91.0,62.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-07,,82.0,60.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-08,,83.0,59.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-09,,89.0,60.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-10,,87.0,64.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-11,,86.0,64.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-12,,70.0,56.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-13,,81.0,54.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-14,,84.0,59.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-15,,82.0,60.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-16,,83.0,57.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-17,,88.0,61.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-18,,87.0,66.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-19,,94.0,65.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-20,,85.0,61.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-21,,90.0,58.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-22,,85.0,57.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-23,,85.0,62.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-24,,90.0,65.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-25,,86.0,60.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-26,,74.0,58.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-27,,81.0,57.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-28,,83.0,61.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-29,,74.0,61.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-30,,79.0,57.0
USR0000CBDR,"SUGARLOAF COLORADO, CO US",2017-07-31,,83.0,55.0
USS0005J42S,"NIWOT, CO US",2017-07-01,0.0,69.0,32.0
USS0005J42S,"NIWOT, CO US",2017-07-02,0.0,73.0,37.0
USS0005J42S,"NIWOT, CO US",2017-07-03,0.0,68.0,47.0
USS0005J42S,"NIWOT, CO US",2017-07-04,0.1,70.0,41.0
USS0005J42S,"NIWOT, CO US",2017-07-05,0.0,74.0,40.0
USS0005J42S,"NIWOT, CO US",2017-07-06,0.0,78.0,47.0
USS0005J42S,"NIWOT, CO US",2017-07-07,0.0,74.0,44.0
USS0005J42S,"NIWOT, CO US",2017-07-08,0.0,67.0,43.0
USS0005J42S,"NIWOT, CO US",2017-07-09,0.0,75.0,41.0
USS0005J42S,"NIWOT, CO US",2017-07-10,0.0,75.0,44.0
USS0005J42S,"NIWOT, CO US",2017-07-11,0.0,75.0,52.0
USS0005J42S,"NIWOT, CO US",2017-07-12,0.1,54.0,43.0
USS0005J42S,"NIWOT, CO US",2017-07-13,0.0,69.0,41.0
USS0005J42S,"NIWOT, CO US",2017-07-14,0.0,69.0,40.0
USS0005J42S,"NIWOT, CO US",2017-07-15,0.0,68.0,42.0
USS0005J42S,"NIWOT, CO US",2017-07-16,0.0,71.0,39.0
USS0005J42S,"NIWOT, CO US",2017-07-17,0.0,74.0,47.0
USS0005J42S,"NIWOT, CO US",2017-07-18,0.0,71.0,46.0
USS0005J42S,"NIWOT, CO US",2017-07-19,0.0,80.0,46.0
USS0005J42S,"NIWOT, CO US",2017-07-20,0.0,75.0,47.0
USS0005J42S,"NIWOT, CO US",2017-07-21,0.2,74.0,48.0
USS0005J42S,"NIWOT, CO US",2017-07-22,0.2,66.0,44.0
USS0005J42S,"NIWOT, CO US",2017-07-23,0.2,66.0,41.0
USS0005J42S,"NIWOT, CO US",2017-07-24,0.1,74.0,47.0
USS0005J42S,"NIWOT, CO US",2017-07-25,0.2,70.0,47.0
USS0005J42S,"NIWOT, CO US",2017-07-26,0.3,64.0,46.0
USS0005J42S,"NIWOT, CO US",2017-07-27,0.0,65.0,44.0
USS0005J42S,"NIWOT, CO US",2017-07-28,0.1,71.0,46.0
USS0005J42S,"NIWOT, CO US",2017-07-29,0.2,58.0,48.0
USS0005J42S,"NIWOT, CO US",2017-07-30,0.2,62.0,41.0
USS0005J42S,"NIWOT, CO US",2017-07-31,0.0,66.0,39.0
USC00050848,"BOULDER, CO US",2017-07-01,0.0,87.0,49.0
USC00050848,"BOULDER, CO US",2017-07-02,0.0,91.0,53.0
USC00050848,"BOULDER, CO US",2017-07-03,0.0,90.0,55.0
USC00050848,"BOULDER, CO US",2017-07-04,0.0,92.0,55.0
USC00050848,"BOULDER, CO US",2017-07-05,0.0,96.0,55.0
USC00050848,"BOULDER, CO US",2017-07-06,0.0,97.0,58.0
USC00050848,"BOULDER, CO US",2017-07-07,0.01,89.0,61.0
USC00050848,"BOULDER, CO US",2017-07-08,0.0,88.0,57.0
USC00050848,"BOULDER, CO US",2017-07-09,0.0,93.0,57.0
USC00050848,"BOULDER, CO US",2017-07-10,0.0,93.0,60.0
USC00050848,"BOULDER, CO US",2017-07-12,0.0,85.0,68.0
USC00050848,"BOULDER, CO US",2017-07-13,,87.0,53.0
USC00050848,"BOULDER, CO US",2017-07-14,0.0,90.0,57.0
USC00050848,"BOULDER, CO US",2017-07-15,0.0,86.0,58.0
USC00050848,"BOULDER, CO US",2017-07-16,0.0,87.0,55.0
USC00050848,"BOULDER, CO US",2017-07-17,0.0,93.0,57.0
USC00050848,"BOULDER, CO US",2017-07-18,0.0,91.0,61.0
USC00050848,"BOULDER, CO US",2017-07-19,0.01,100.0,61.0
USC00050848,"BOULDER, CO US",2017-07-20,0.0,89.0,61.0
USC00050848,"BOULDER, CO US",2017-07-21,0.21,95.0,61.0
USC00050848,"BOULDER, CO US",2017-07-22,0.07,88.0,57.0
USC00050848,"BOULDER, CO US",2017-07-23,0.0,91.0,57.0
USC00050848,"BOULDER, CO US",2017-07-24,0.0,96.0,57.0
USC00050848,"BOULDER, CO US",2017-07-25,0.02,92.0,62.0
USC00050848,"BOULDER, CO US",2017-07-26,0.07,79.0,61.0
USC00050848,"BOULDER, CO US",2017-07-27,0.0,86.0,61.0
USC00050848,"BOULDER, CO US",2017-07-28,0.03,89.0,56.0
USC00050848,"BOULDER, CO US",2017-07-29,0.01,79.0,64.0
USC00050848,"BOULDER, CO US",2017-07-30,0.0,82.0,57.0
USC00050848,"BOULDER, CO US",2017-07-31,0.0,88.0,54.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-02,0.0,84.0,61.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-03,0.0,87.0,58.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-04,0.0,87.0,59.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-05,0.0,91.0,61.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-06,0.0,94.0,62.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-07,0.0,93.0,61.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-08,0.0,84.0,60.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-09,0.0,87.0,62.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-10,0.0,94.0,62.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-11,0.0,88.0,66.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-12,0.0,91.0,67.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-13,0.0,71.0,57.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-14,0.0,84.0,59.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-15,0.0,86.0,60.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-16,0.03,82.0,59.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-17,0.0,84.0,61.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-18,0.0,91.0,66.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-19,0.0,87.0,62.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-20,0.0,96.0,61.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-21,0.0,87.0,61.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-22,0.02,91.0,59.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-23,0.0,87.0,60.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-24,0.0,89.0,63.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-25,0.0,93.0,67.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-26,0.2,89.0,61.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-27,0.69,74.0,59.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-28,0.0,83.0,61.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-29,0.18,87.0,63.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-30,0.0,76.0,60.0
USC00056816,"RALSTON RESERVOIR, CO US",2017-07-31,0.14,79.0,57.0
USC00055984,"NORTHGLENN, CO US",2017-07-01,0.0,74.0,51.0
USC00055984,"NORTHGLENN, CO US",2017-07-02,0.0,91.0,55.0
USC00055984,"NORTHGLENN, CO US",2017-07-03,0.0,91.0,57.0
USC00055984,"NORTHGLENN, CO US",2017-07-04,0.0,91.0,56.0
USC00055984,"NORTHGLENN, CO US",2017-07-05,0.0,96.0,56.0
USC00055984,"NORTHGLENN, CO US",2017-07-06,0.0,101.0,60.0
USC00055984,"NORTHGLENN, CO US",2017-07-07,0.0,99.0,61.0
USC00055984,"NORTHGLENN, CO US",2017-07-08,0.0,90.0,57.0
USC00055984,"NORTHGLENN, CO US",2017-07-09,0.0,91.0,61.0
USC00055984,"NORTHGLENN, CO US",2017-07-10,0.0,98.0,58.0
USC00055984,"NORTHGLENN, CO US",2017-07-11,0.0,98.0,58.0
USC00055984,"NORTHGLENN, CO US",2017-07-12,0.0,95.0,68.0
USC00055984,"NORTHGLENN, CO US",2017-07-13,0.0,76.0,55.0
USC00055984,"NORTHGLENN, CO US",2017-07-14,0.0,89.0,57.0
USC00055984,"NORTHGLENN, CO US",2017-07-15,0.0,92.0,59.0
USC00055984,"NORTHGLENN, CO US",2017-07-17,0.0,89.0,55.0
USC00055984,"NORTHGLENN, CO US",2017-07-18,0.0,97.0,64.0
USC00055984,"NORTHGLENN, CO US",2017-07-19,0.0,97.0,64.0
USC00055984,"NORTHGLENN, CO US",2017-07-20,0.0,100.0,63.0
USC00055984,"NORTHGLENN, CO US",2017-07-21,0.01,100.0,63.0
USC00055984,"NORTHGLENN, CO US",2017-07-22,0.05,101.0,65.0
USC00055984,"NORTHGLENN, CO US",2017-07-23,0.0,93.0,45.0
USC00055984,"NORTHGLENN, CO US",2017-07-24,0.0,94.0,66.0
USC00055984,"NORTHGLENN, CO US",2017-07-25,0.0,101.0,65.0
USC00055984,"NORTHGLENN, CO US",2017-07-26,0.1,99.0,63.0
USC00055984,"NORTHGLENN, CO US",2017-07-27,0.16,84.0,60.0
USC00055984,"NORTHGLENN, CO US",2017-07-28,0.0,88.0,63.0
USC00055984,"NORTHGLENN, CO US",2017-07-29,0.28,93.0,65.0
USC00055984,"NORTHGLENN, CO US",2017-07-30,0.0,78.0,62.0
USC00055984,"NORTHGLENN, CO US",2017-07-31,0.05,84.0,58.0
